Title,Company,Industry,Clouds Implemented,Description,Outcomes,Links
Transforming and Consolidating the Customer Experience​,Mariott vacations Worldwide,Hospitality,"Sales Cloud, Experience Cloud, Service Cloud, Platform","BUSINESS DRIVERS ​

Consolidate multiple brands, all with their own public-facing websites and backend systems​

Update a confusing, non-intuitive experience that was leading to lagging user adoption​

Consolidate and modernize digital experiences for customers, enriching and elevating their quality of engagement​

Deepen relationships with customers by forming more robust, personalized connections with users​

Lack of understanding of currently owned products, let alone new ones, among customer base​

Frustration and lack of trust with existing antiquated systems, resulting in more calls to customer service","Engagement: Higher program adoption and activation and accelerate time to first vacation for new customers​

Reputation: Increased awareness and recognition of the brand, including telling the company's new story​

CSAT: Increase in customer satisfaction thanks to more customer-centric changes to the brand experience​

Revenue: Simplified, streamlined experience results in deeper brand loyalty and more lifelong customers",https://ibm.box.com/s/1jnky3839lmzfgibk9t0j1dyqkqmlzh8
Using Data Cloud and Marketing Cloud to Activate Personalized Experiences that Drive Value,TIAA Cref,Financial Services,"Data Cloud, Marketing Cloud","BUSINESS DRIVERS ​

Organization identified the importance and need for a full experience-led, Salesforce-first transformation​

Significant challenges with data collection and usage in their customer experience, demonstrating a need to make their data more actionable​

Alleviate complexities with their existing technologies by adopting the Salesforce platform​

Enable the company to optimize operations, including identifying remediation actions to scale their CDP for enterprise use​

Assess and document all available marketing data elements to determine business benefits","750 client data attributes unified from over 22 unique data sources​

Personalization enabled at a 1:1 ability to help the company better serve and service their clients​

Enhancements to provide more accurate, real-time interactions for customers​

25% anticipated reduction in delivery timelines due to simplified data ingestion",https://ibm.box.com/s/lmkx36wu4ufu8p6v219h38xs3to0jg79
Rapidly Innovating a Railway's Logistics Portal Powered by Salesforce,BNSF,"Transportation, Logistics",Experience Cloud,"BUSINESS DRIVERS ​

Create a desktop and mobile portal to help customers manage activities related to originating and managing shipments throughout the transit lifecycle​

Modernize a portal to enhance usability, efficiency and company branding​

User experience problems in the portal were rated as the #1 issue by customers due to overwhelming complexity, inconsistency and a steep learning curve​

Enable customers to self-serve as much as possible to reduce demand for customer support. This includes self-service in use cases like order management, shipment tracking, customer support, knowledge sharing and personalization.","350,000 portal user sessions per month​

1000+ units in transit at any point in time for some customers, which the portal helps manage​

1000+ new users are joining the portal every month​

Cost Savings: due to rapid innovation (enabled by IBM Accelerators) of a new solution, rather than a costly remediation of legacy tech and technical debt",https://ibm.box.com/s/o2k3nfg3q7nnl7p2y7a8d5c6x6d5lysf
Creating a Complete Office Solution on Salesforce,T-Mobile,"Telecom, technology","Sales Cloud, Service Cloud, Marketing Cloud, Field Service","BUSINESS DRIVERS ​

Salesforce is seen as essential to the organization's ability to create a competitive advantage​

Deploy and optimize Salesforce solutions, including Sales Cloud, Service Cloud, Marketing Cloud and Pardot, across their enterprise​

Undertake numerous initiatives aimed at empowering employees, particularly with Sales Cloud and Field Service​

Create a complete office solution, including credit processing workflows, end-to-end CPQ functionality and contract lifecycle management​

Use Einstein to help guide sales reps to high-probability accounts and opportunities while flagging at-risk accounts","Cross-organization Capabilities: creation of extraordinary customer moments and journeys​

85% faster renewals process, thanks to streamlining across more than 5000 retail stores​

Streamlined Processes: improved sales and services processes across more than 5000 retail stores​

93% fewer clicks in the sales process, saving more than 7 hours per week for sales reps",https://ibm.box.com/s/utx9b162fc337bt0tbdllxo6zi562sjs
Improving the User Experience to Make Things More Accessible for Victims of Natural Disaster,American Red Cross,Non-Profit,"Service Cloud, Experience Cloud, Mulesoft, Commerce Cloud","BUSINESS DRIVERS ​

Lack of internal staff and/or skillsets to implement some of the experiences and solutions they want​

Implement lots of automation to help them operate more efficiently without having to add additional overhead and cost​

Problems surrounding revenue recognition. Senior management couldn't access real-time snapshots of how the business is doing​

Improve the overall user experience for customers is especially important given that many of their users are recent victims of natural disasters","Automation: Boosted efficiency by implementing lots of automation throughout the experience, resulting in cost savings from not needing to add overhead​

Visibility: Dashboards and other tools allow senior management to see real-time snapshots​

Make Things Easier for Users: Victims of disaster are no longer limited to tedious, manual processes to access relief and resources. Easy communication through mobile portals eases post-disaster constraints on people.",https://ibm.box.com/s/9vay66tvupzik7fwx4lajgfgt277rugg
Creating a Customer Ecommerce Solution for a Medical Manufacturer​,Boston Scientific,"Healthcare, Manufacturing","Platform, Commerce Cloud","BUSINESS DRIVERS ​

Design a fixed/flexible solution that works for the organization across its global markets​

Transform the commerce experience for healthcare professionals​

Remove complexity in the organization's commerce flows​

Leverage the Salesforce platform, IBM Accelerators and custom components to build a unique experience that differentiates the company's brand from its competition","Cleaner, simplified solution maintenance​

Enabled more remote sales processes​

Intuitive, modern and personalized user experience​

Includes architecture modifications that support scalability and extensibility",https://ibm.box.com/s/jrjvrl15krnhnar70n1qaub5u0qzmweh
Building a B2B Commerce Solution and a Partner Community for a Medical Device Manufacturer,Hydrafacial,"Healthcare, Manufacturing, CPG","Commerce Cloud, Experience Cloud","BUSINESS DRIVERS ​

The company's existing ecommerce platform failed to support the growth and growth-oriented goals of their online business​

Disjointed ability for customers and partners to make online purchases, presenting a strong need for a better user experience for all personas​

Desire to easily run various marketing promotions throughout the year","Enhanced Scalability: Platform grows with business and has the ability to run multiple promos​

Improved UX / UI: Due to intelligent experiences and streamlined user processes​

Branded Commerce Experience: Focus on branded buyer journey that matches customer expectations​

Unified Experience: B2B Commerce implementation w/ integration into company's ERP",https://ibm.box.com/s/mxtxczoldh34cceuhuwgcqvx30jfjw68
Enabling Partners with a Commerce Experience,nVent,Manufacturing,"Commerce Cloud, Experience Cloud","BUSINESS DRIVERS ​

Need for a high-performing channel experience for their enclosures segment​

Lack of a unified, real-time, data-powered solution where partners could request dynamic quotes​

Partners desired integrated, dynamic price data that they previously did not have access to​

Unlock the ability for multiple partner types, including authenticated and unauthenticated, to use the solution​

Set the foundation to scale across multiple business segments in the future","Enhanced Performance: Innovative design and transaction process​

Rapid Enterprise Iteration: Scalable foundation and a more unified UX​

Increased Efficiency: Optimized, data-enabled behaviors and pricing​

360 Customer View: Real-time reporting and analytics",https://ibm.box.com/s/9pj8f7h9gg7rcl79pf2usmtnda12r7ff
Expanding Cloud Infrastructure in the US with AI-enabled Sales Process Automation,GLP,Real Estate,Sales Cloud,"BUSINESS DRIVERS ​

Company was challenged to quickly expand their cloud infrastructure services with a standardized tech stack​

Establish a standard sales process powered by Salesforce and IBM intelligent workflows​

Enable sales teams to quickly enter the market with agility powered by automation, AI and enhanced configuration capabilities","IBM assets and accelerators enabled the solution to go live just 6 weeks after kickoff​

8 critical sales capabilities enabled​

52 total user stories developed​

Unlocked ongoing iteration thanks to analytics embedded throughout the sales journey, providing key behavioral KPIs",https://ibm.box.com/s/24tz1g30xhuesv4b44l80q2kr6ytvalr
Transforming the Customer and Agent Experience by Reinventing the Contact Center,IOH,"Telecom, Technology","Service Cloud, Experience Cloud","BUSINESS DRIVERS ​

Desire to provide the best possible customer experience, but traditional systems were hampering agent productivity resulting in poor CX. ​

Modernize the company's solutions by improving case management, knowledge management, service console layout, live agent features and reporting. ​

Use Salesforce to merge existing customer service tools to an integrated digital contact center. ​

Undergo a contact center transformation that would result in more scalability, agent productivity, workload visibility and user-friendly experiences. ","50% reduction in average handling time​

90% reduction in average time taken to respond to calls​

10% increase in positive CSAT scores​

Cross-Entity Collaboration: following a merger in 2022, business units successfully underwent a transformation to support the merge process and migrate the contact center, enabling better collaboration.",https://ibm.box.com/s/oxen4mkk47ivp7luv0x5wq0vghiuja1n
Managing a Post-Acquisition Migration on a Tight Timeline,ExxonMobil,"Oil and Gas, Utilities","Sales Cloud, Service Cloud, Marketing Cloud","BUSINESS DRIVERS ​

Following the acquisition of a separate business unit, there was a high priority on ensuring a quick migration of orgs to Salesforce​

Work against an aggressive timeline and have solution functioning seamlessly on day one​

Ensure that organization had the tools to take control of the acquisition and spin up new business right after launch​

Set up technical infrastructure while adhering to legal requirements​

Deliver a functional Salesforce end-to-end Cloud solution that would support the business and drive value quickly","Speed to Market: Launched solution in three months, hitting their legal timeline​

Successful Migration: 3000+ users impacted, with their entire Salesforce org rolled off​

Seamless Launch: New business unit able to spin up new business the day the solution went live",https://ibm.box.com/s/8vgy17u5wzeml6w17bte4joiu4731fhw
Modernizing Vital Enterprise Apps During a Large Scale Cloud Transformation,Delta Airlines,"Transportation, Airlines",Service Cloud,"BUSINESS DRIVERS ​

Legacy applications were designed ""technology first,"" and therefore were not human-centered​

Outdated and inconsistent UX patterns and visual design across apps, necessitating modernization and an IT transformation that includes moving 700+ apps to Cloud​

Pilots being served by 7+ teams through email and tedious manual processes. They could use multiple channels to engage support, leaving support teams to consolidate requests on running email chains​

Simplified the UX for pilots and attendants, making communication more efficient while remedying aging tools, tool overload and outdated processes","Increased Efficiency: modernized, improved experiences reduce steps needed to complete tasks​

Scalability: solution serves as a foundation for future applications​

Over 12,000 users gained access to the tool after just 15 weeks of dev work. The new solution met adoption metrics of the previous tool within one month post-launch",https://ibm.box.com/s/b60efjeije94cgsnlqy359cg0l84dizj
"Uniting Brands in One Experience for Customers, Partners and Employees",HNI,Manufacturing,"Sales Cloud, Experience Cloud, Marketing Cloud","BUSINESS DRIVERS ​

Poor, disjointed experiences for company's customers, partners and employees, necessitating a full transformation of their Digital Experience Platform​

Disparate systems and processes across the organization's multiple brands​

Lack of self-service, personalization and support, which increased costs and decreased dealer spend","Cost savings and efficiency from more self-service and collaboration tools​

Increased activity among all users due to personalized, intelligent experiences and role-based access​

Fewer support requests thanks to better access to knowledge bases, self-service and support resources​

Unified experience: Four brands are presented dynamically in a single user experience",https://ibm.box.com/s/ypuz65jelebmuq4lxhmvhh0f2xv9bdbv
Unifying Student Experiences with a Community,Adtelam,Higher Education,"Sales Cloud, Experience Cloud, Service Cloud","BUSINESS DRIVERS ​

Organization has to maintain multiple portals for individual schools and is looking to streamline management​

Modernize and enhance the overall look and feel, UX, personalization and layout to improve student journeys​

Develop a company-specific template that can be seamlessly applied across multiple student experiences​

Drive business outcomes such as more consistent levels of engagement and applicant conversion rates","$22 million projected lifetime revenue growth​

2500+ projected applicants​

1100+ registrants*​

84% increase in applicant to student conversion rate*​

Connected Campus unlocked with a unique blend of three Lightning Bolts",https://ibm.box.com/s/kghvufgj8dht0gizht9uzdefpu14aizp
Enabling Training and Support with a Partner Experience,New York Life,Insurance,Experience Cloud,"BUSINESS DRIVERS ​

Corporate solutions weren't being adopted, leading some field offices to develop rogue solutions​

New managers lacked consistent tactics and tools to drive agent performance; they needed to create a digital tool to help them coach and develop​

Executives identified agent development as the top business priority, resulting in a need for a new experience that would enable these features​

Bring together relevant sales, learning and development data together with robust functionality into a cohesive, integrated experience available on the go","Streamlined Training: Weekly coaching sessions, training plans and scheduled learning​

Higher Conversions: Workflow optimization, simplified application process​

Increase in Agent Satisfaction: Easier book of business management, better learning tools​

Effective Management: Guided framework for coaching, access to single glance of agents' performance",https://ibm.box.com/s/oo2get1l5u5ryc60ze00i8f820xzgpvk
Driving New Opportunities Through a More United Platform,Abbott,Healthcare and Life Sciences,"Sales Cloud, Experience Cloud","BUSINESS DRIVERS ​

Company struggled to target key doctors' offices and hospitals and influence sales in their ""Adult Nutrition"" category of products​

Limited and disjointed data prevented the organization from identifying high-value healthcare providers and accurate ROI measurement​

Integrate additional data sources into Salesforce CRM that would not require ongoing IT support","Efficiency: Marketing teams now create campaigns across channels quickly, easily and accurately​

Data Consolidation: Multiple data points now unified across sources within the CRM​

Decision-Making: Decisions have become more meaningful thanks to reporting and analytics dashboards that highlight relevant KPIs to drive business outcomes",https://ibm.box.com/s/h144si5144a0ds3wc8gifkfhitmucvt7
Enabling Campaign Management and Reporting with a Partner Experience,Sephora,Retail,"Experience Cloud, Platform","BUSINESS DRIVERS ​

Desire to deliver a differentiated best-in-class partner experience for brand partners​

Centralize access to information including Adobe DAM assets, Tableau reports and marketing exposures​

Create a brand portal for partners to view and manage active campaigns, track campaign spend and performance, and take action on assigned tasks​

Build a one-stop-shop for all tools and services, making it easier to do business with the organization","Differentiation: Best-in-class partner experience proves the value of their partnership​

Time Savings: ""Year in Review"" info available on-demand; previously took months to manually curate​

Self-Service: Real-time integration to sales and performance metrics",https://ibm.box.com/s/t36x72cx4di0m84vauk5uhawm4o7wae2
Implementing an Innovative Partner Network,Snowflake,"Technology, Services",Experience Cloud,"BUSINESS DRIVERS ​

Need to create a solution that overcame the complexity, costliness and inflexibility that other data platform competitors often battled​

Anticipated that a significant percentage of revenue would flow through the partner network, but they needed a world-class experience to successfully enable partners​

Diverse, global partners required an experience where they could self-register, support deal registration enablement, support case management and mange partner tier-level targets​

Partners desired an experience that would provide the means to find success within targeted tier levels and drive revenue upsides for the organization","Fuel Business: Experience allows the company to expand their partner ecosystem's capabilities​

Tangible Results: A significant part of their global revenue will flow through the network across verticals, geographies and partner types.​

Channel Engagement: Increasing as new partners register in the community, leading to highest levels of influence and deal registration",https://ibm.box.com/s/th449v6t3z77iddvi398hvabslhc6p72
Delivering Enterprise-Quality Collaboration Solutions at Scale,Chevron,"Oil and Gas, Utilities","Sales Cloud, Experience Cloud, Service Cloud","BUSINESS DRIVERS ​

Enable knowledge, announcements, sales and order information, and more to be easily accessible to retailers​

Streamline methods for organization to share vital information with retailers​

Provide support around services, marketing and promotional materials being offered by the business​

Stay competitive within the industry by enhancing ease of access to resources that will help retailers remain at the forefront","Adoption: Users no longer fumbling to find materials results in higher adoption of the portal​

Resource Access: Drastically improved, helping keep employees and retailers informed​

Cost & Time Savings: Self-service results in more efficiency and less lost time",https://ibm.box.com/s/ww8984npd27g0kkd9bo3xen9lkgr45oj
Service Cloud Enhancement and Portal Integration,Biorad,"Life Sciences, Manufacturing","Sales Cloud, Service Cloud","BUSINESS DRIVERS ​

Organization currently lacks visibility into their channel partner opportunities​

Opportunities are not managed in Salesforce directly and required manual entry from a spreadsheet every month​

Poor partner experience resulting in high turnover among channel partners​

System issues and inefficiencies, such as deals under $40k not going into the system and hundreds of hours of data entry time wasted on a monthly basis","Visibility: Enhanced views into channel partner opportunities to see what the funnel looks like ​

Channel Retention: Less partner turnover thanks to a drastically enhanced partner experience​

Extend Capabilities: Long term, partners will be able to use the platform as a learning and recruiting tool ",https://ibm.box.com/s/f8p6clvurpsp7milp5i1ub4x0u4xd96n
Enabling Members to More Easily Select Healthcare Plans,Blue Cross Blue Shield of Mass.,"Insurance, Healthcare","Sales Cloud, Service Cloud","BUSINESS DRIVERS ​

With changing consumer expectations, there was a demonstrated need to better understand customers' benefit plan shopping journey​

Improve the CX for members when they go through the process of selecting a Medicare plan​

Enable members and prospects to select best products based on lifestyle, healthcare needs, plan utilization and budget​

Stay relevant and competitive from a digital perspective","Integration: Enhanced through seamless sharing of prospect data and access to online enrollment​

Personalization: More accurate recommendations based on individual users' data and records​

Conversions: Improved conversion rates with an experience that showcased organizational value​

Omnichannel: Helps meet market demands for more advanced customer journeys",https://ibm.box.com/s/c2bd5ihqyaoh5kkoy5dastp2vtuuejfd
Bridging the Connection Between Doctors and Patients Online,Janssen,Life sciences,"Experience Cloud, Service Cloud, Health Cloud","BUSINESS DRIVERS ​

Following the onset of the pandemic, the organization needed to adapt their patient support platform to engage patients and doctors virtually​

Requirement for call center operations to quickly transition to a digital-based portal with support offered in three languages​

Transform the internal portal via Health and Experience Cloud, enabling professionals to access systems, track leads and manage cases​

Seamlessly integrate third party sites, external apps and multiple backend systems to provide an exceptional patient experience","50% increase in patient enrollment following launch of patient experience​

3x faster transactions​

68 existing processes able to be eliminated thanks to streamlining from the solution​

50% decrease in call abandonment post-implementation​

24% increase in KPI service levels",https://ibm.box.com/s/b11kjlykpthga0d7f78yc4gff43f7t5l
"Migrating a Custom, Homegrown Intranet to Experience Cloud",Jeffries,"Financial Services, Investment Banking","Experience Cloud, Platform","BUSINESS DRIVERS ​

Fixed Income Division faced concerns like technical debt, an inability to keep pace with innovation, and long-term support​

Equities division needed solutions that could be built once and then expanded upon​

Streamline administrative capabilities like self-service and maintenance with a user-friendly tool​

Improve processes throughout the organization, including those for HR and employee support","Scalability: Enhanced by modernizing the intranet to lay the foundation for future releases ​

Enhancements: Added new capabilities like self-service, reduced ongoing costs and more user-friendly tools​

Time-to-Market: Decreased implementation timeline by using IBM's Employee Digital Workspace Lightning Bolt",https://ibm.box.com/s/tk3z0v660z14jno7lcwr04qwqo5krvrd
Managing Relationships with a Diverse Portfolio of Companies,Apollo,Financial Services,"Experience Cloud, Platform, Sales Cloud","BUSINESS DRIVERS ​

Desire to scale to get to $1T in assets under management by 2026​

Overhaul everything on the IT side with a focus on Salesforce and common platforms​

Create a flexible solution where the business can update content and onboard users without needing to run through IT","$1T goal for assets for the company, which the new solution has them on track for​

Maximize Efficiency: Retired manual, redundant spreadsheets​

Streamline Processes: Updated complicated, outdated systems to get people working on the same page​

Better Relationships: Ability to better manage interactions with the company's entire portfolio",https://ibm.box.com/s/20v2ogdatbzhsoiaetm57um6iq3vdgd5
Demonstrating Value with One Brand to Earn Business Throughout the Organization,LVMH,Retail,"Sales Cloud, Experience Cloud, Service Cloud, Platform","BUSINESS DRIVERS ​

Demonstrate value of a digital experience for one business unit, leading to new projects for other brands within the company​

Migrate to Salesforce to enable a 360-degree customer view and deliver a best-in-class experience for users​

Re-platform back-end systems for brands to seamlessly update their front-end design​

Achieve dev ops excellence by undergoing a Copado implementation","Earned Business: Successful launch for one brand led to closed deals with three other business units​

Time & Cost Savings: Portal to access data means less time manually responding to emails. Real-time integration reduces cost of compiling from multiple sources​

Higher CSAT: As a result of a more modern platform and improved processes",https://ibm.box.com/s/smxpehyhw7b0uiegxrlulfp6oe24eana
Creating an Employee Experience that Consolidates Resources to Improve Patient Outcomes,Hanger,"Healthcare, Manufacturing",Experience Cloud,"BUSINESS DRIVERS ​

Build a branded employee experience that consolidates several touchpoints, improves navigations and surfaces critical knowledge​

Migrate an existing employee community from SharePoint to Salesforce to better utilize Salesforce's collaborative features​

Easily publish news, announcements and other knowledge articles​

Create a community that effectively reflects the company's brand, values and employee expectations","Employee Experience: Improved patient outcomes and business results with a more intuitive experience​

Branding: New community better reflects the organization's brand and values​

Engagement: Collaborative employee experience is more engaging than the legacy SharePoint solution",https://ibm.box.com/s/j79xcyehoiid5n02s5q7tn1gv18po7oc
Transforming the Customer Experience with a Modernized Solution,Compeer,Financial Services,"Sales Cloud, Experience Cloud","BUSINESS DRIVERS ​

Unfriendly, outdated interfaces built on VisualForce frustrated the company's customers​

Multiple properties acquired through mergers diluted the company's brand​

Manual processes for support caused inefficiencies and duplicative effort​

CLIENT TESTIMONIAL​

""Our resources and the team meshed well from the very beginning. We worked hard, had some fun, and produced great results. All team members were highly skilled, very personable, and always respectful. We couldn't have asked for a better partnership.""","Consolidation: Single system of engagement thanks to a Lightning migration and integration​

Satisfaction: Better navigation, alerts and search functionality increased customer satisfaction​

Branding: UI and UX of the new solution enable consistent brand representation​

Self-Service: Streamlined self-service with account management, document transfers and knowledge base",https://ibm.box.com/s/li0snw4y3xoupncldcgdeny1an62c9cm
Enhancing Sales Execution and Opportunity Management with a Partner Experience,METUS,Manufacturing,"Sales Cloud, Experience Cloud","BUSINESS DRIVERS ​

Partners were battling poor forecasting and transparency in their sales pipelines​

Heavy workload for training, certifications and accreditation created inefficiencies for both the company and its partners​

Disjointed processes for quote approval and price verification resulted in frustrated partners​

Need for a consolidated contractor and distributor experience to drive engagement, lead distribution and project tracking","12 hour/week decrease in time to verify quote pricing​

80% decrease in time to manage certification and accreditation​

30% increase in number of opportunities entered and approved​

Consolidation to a single system of engagement, providing a unified experience to distributors",https://ibm.box.com/s/7ae0htxaqhx74neya91tgxg61kxiag24
Migrating to Salesforce to Enhance the Developer Experience,Intercontinental Exchange (ICE),Financial Services,Experience Cloud,"BUSINESS DRIVERS ​

Company had demonstrated a need to migrate off of their legacy Jive community on an aggressive timeline​

Improve the customer experience, elevate brand identity and streamline internal support processes​

Enable a self-service environment to share content to external users, especially developers and traders​

Build a unified experience that has the ability to unite multiple brands within the organization","Enhanced Efficiency: Reduced manual processes for both customers and employees​

Fewer Service Requests: Automated onboarding and enhanced self-service capabilities​

Simplified Search: Coveo implementation streamlined users' access to content and information",https://ibm.box.com/s/xc77u2plm2uqplutmf4aa1p77aji6n8q
Completely Transforming the User Experience with Salesforce Following a Company Spin Off,Bright House Financial ,Financial Services,Experience Cloud,"BUSINESS DRIVERS ​

Separation from a larger organization provided opportunities for the company to enhance their user experience​

Provide a modern, efficient, online servicing solution built on Salesforce Experience Cloud​

Consolidate and sunset various legacy platforms, systems and processes​

Simplify and streamline interactions and drive value through self-service and increased engagement","Increase Operational Efficiency: Move toward cloud-based solutions; successfully consolidated tech platforms​

Improve Providers' Experience: Timely delivery of data, reducing barriers to use, simplifying user flows, establishing trust through data security​

Deliver Value: Reduce high touch/low value interactions, increase client engagement, deflect calls through self-service",https://ibm.box.com/s/jqmfbf3ofknvmn7kh85qiriwkwgrydbx
Enabling Dealer Productivity with a Partner Experience,Twillio,Technology,Experience Cloud,"BUSINESS DRIVERS ​

Increase operational efficiency with an improved partner experience​

Unlock self-service functionality for all audiences that will drive productivity and engagement for dealers​

Increase automation, modernize UX and reduce high-touch/low-value interactions​

Empower user engagement by designing a stickier partner network with structured content and resources that are most relevant to partners","Improved Productivity: Streamlined onboarding and overall ease-of-use​

Increased Engagement: Higher number of active partners resulting in a larger funnel​

Diverse Interactions: Event sign ups, asset usage and deal registration all increased​

Enhanced UX: Better operational efficiency, self-service and automation",https://ibm.box.com/s/yjzxpkab7t9lp9sg97hvrpzv0fy5dmbl
Generating User Engagement with a Guided DIY Journey,Lumen,"Telecom, Technology",Service Cloud,"BUSINESS DRIVERS ​

Develop three major applications to enhance usability for B2B and B2C customers while maximizing performance and being scalable​

Digital Dialogue Bulk Wizard for Bulk Orders: upgrade from single orders to bulk orders with a DIY journey for end users​

Dynamic Dashboard Messaging System: send custom messages and emergency notifications to any business unit, region, territory and area code​

Self-Scheduling Dashboard: let customers schedule their own service appointments for orders and products","50% reduction in time for customers to manage data​

50% increase in ordering capability with Bulk Wizard​

DIY capabilities with integrated systems and guided journeys to enhance the user experience​

Self-service ensures that both B2B and B2C users are able to find resources, resulting in decrease of case submission",https://ibm.box.com/s/z5jy6hi1aeoz7wrqazad7a85gn6jtepe
Optimizing Processes to Improve Productivity and Enhance Performance,The Standard,Financial Services,"Sales Cloud, Experience Cloud","BUSINESS DRIVERS ​

Improper handling of accounts and opportunities, preventing comprehensive visibility into deal data​

Organization was only capturing enough data to move sales processes forward, resulting in omission of many value-add data points​

Creation of a partner portal to allow advisors and administrators to collaborate with the organization​

Optimized processes by creating more relevant stages and requiring additional data points before certain milestones​

Lack of scalability, inconsistent approval processes, non-standardized templates and no one-stop shop for partners to interact with the company","Significant enhancements to forecasting and reporting thanks to solution capturing more detailed data​

Quicker deal closure thanks to streamlined opportunity creation and pipeline maintenance​

Annual savings coming from optimized sales quote and proposal processes​

Improved productivity due to automated calculations and document creation",https://ibm.box.com/s/ver50ygpoubphdskx0k4tnofq43yy2bp
Optimizing Processes and Increasing Visibility with Salesforce,[CLIENT] Company,CPG,"Experience Cloud, Platform","BUSINESS DRIVERS ​

Need for a solution that would enable marketing, legal and support departments to access data about global marketing budget and expenditures​

Regional procurement tools lacked integration to a centralized system, and global offices were previously siloed​

Leverage Experience Cloud to provide a secure area for internal and external users to collaborate on RFIs, RFPs and SOWs","37 days reduction in average SOW creation​

133 hours saved per marketer per year​

50% reduction in manual touchpoints between marketers and agency contacts​

4000% increased visibility into global marketing expenditures",https://ibm.box.com/s/cjn3airjoobiedt71sjpr8kubqvseddi
"Harmonizing People, Products and Technology",Rich Products,CPG,Consumer Goods Cloud,"BUSINESS DRIVERS​

Divergent go-to-market processes across customer facing teams spanning three global regions, 22 countries and thousands of associates​

Desire to create a single, standard and global sales process and customer engagement platform that would unify information silos, bridge data gaps and standardize a go-to-market model​

Harmonize sales processes, performance metrics and digital capabilities","20% increase in lead volume and conversion​

5% increase in account penetration and upsell​

6% increase in revenue retention​

20% increase in sales productivity​

Accelerated deployment from a global template architecture, integration framework and standardized processes",https://ibm.box.com/s/7vwm9zydpblq1unr6h8pynnurj2hj6bb
Increasing Collaboration and Consistency Across Operating Companies, Sysco Corporation,CPG,Experience Cloud,"BUSINESS DRIVERS ​

Needed higher levels of adoption and understanding to ensure more than 8500 users accurately utilized the functionality and customizability of Salesforce​

United the vision and metrics for all operating companies to allow executives to easily measure the performance of individual operating companies​

Conduct various waves of training, develop role-specific learning content within the organization and create tip sheets to roll out key metrics to sales VPs","Enhanced visibility into processes and metrics​

Increased collaboration among users​

Improved executive alignment​

Higher levels of adoption among users in the company's Salesforce org",https://ibm.box.com/s/3jm310gj1fjbq35gqtt0cx8hjhf0hwkh
Experience Design of Consumer Goods Cloud for Retail,Campbells,CPG,Consumer Goods Cloud,"BUSINESS DRIVERS ​

Co-create a future experience for account management and field sales teams, empowering those teams with new tools and insights to drive market growth and shelf space​

Identify critical pain points and experience flaws for account management, field sales and support representatives​

Map user stories and future experience design with business value orchestration for solution prioritization​

Validate future state experience with end user input and stakeholder alignment","Improved UX for both external users and employees​

Time and cost savings from lowering time to production​

Establish long-term goals through a product roadmap and prioritization matrix based on business value and solution complexity",https://ibm.box.com/s/v0d7chdpmpkcwzpvb3r2t8u50voul111
Improving Service and Experiences for Customer and Partners,Cencora (Amerisource Bergen),"Life Sciences, manufacturing, CPG","Sales Cloud, Experience Cloud, Service Cloud, Analytics Cloud, Marketing Cloud","BUSINESS DRIVERS ​

Transform CX and UX by increasing cross-business unit collaboration, enabling a 360-degree customer view and improving performance​

Enable innovation velocity by reducing duplication of effort and redundant costs, increasing collaboration across customer-facing teams and maximizing current investments​

Reduce the total cost of ownership by lowering technical debt and app redundancy, improving data storage, leveraging shared assets and enabling a single support model","20% faster order and return processing and reduction in overall reporting time​

25% faster case closure rate​

28% reduction in agent onboarding time​

5% reduction in average call handle time​

Reduced user churn thanks to improved user and customer experience",https://ibm.box.com/s/hgcezre9be7l8pzgdtfc3g2ajsqp9b6j
Deploying an Integrated Delivery System & Optimizing the Employee Experience,Frito Lay,"CPG, Food and Beverage","Sales Cloud, Service Cloud, Commerce Cloud, Field Service","BUSINESS DRIVERS ​

Streamline the order management process while creating connections and improve the experience of 25,000+ front-line employees​

Legacy solution lacked the ability to add product SKUs, complicating the order process and hampering sales growth​

Leverage Salesforce B2B Commerce to enable better management of the supply chain, including an integrated order entry process and direct store delivery system built on Service Cloud with Field Service Lightning","Enhanced visibility by showing drivers and their status, enabling real-time scheduling adjustments​

Increased efficiency due to geo-assisted check in and checkout functionality​

Better fulfillment from omnichannel capabilities​

Employee experience enhanced by optimizing efficiency and enabling employees to be agile and adaptive in the field. ",https://ibm.box.com/s/xcsoa0lswd04zcfzgw2y2p5hn41zr2on
Supporting Teachers from Recruitment to Retirement,School Specialty,Higher Education,"Expereince Cloud, Platform, Work.com","BUSINESS DRIVERS ​

Provide continuous guidance and support to all employees from recruitment to retirement while fostering organizational values​

Unlock stronger enablement and enhance the way that teachers and other instructors work together within the company​

Give teachers a single experience to engage with colleagues, easily find information, ask questions and disseminate information to one another","Employee Benefits: Increased satisfaction, collaboration and retention​

World-Class Experience: Tracks lifecycle from prospective employee to retirement​

Centralized Access: Onboarding, Training, Career Development and HR​

Full Transformation: Prospect, Client and Employee Communities, as well as public site and mobile app",https://ibm.box.com/s/k7sojz93h0z52dmplmm7waq0ygiumf69
