source_file,title,company,industry,clouds_implemented,description,outcomes,links
4637968.md,IBM partners with LloydsBank to run a DevOps and Test Driven Development (TDD) environment,LloydsBank,"Financial Services, Banking","AWS Code Commit, AWS","IBM collaborated with LloydsBank to implement a DevOps and TDD environment focused on Business Intelligence service delivery. The approach centers on Continuous Integration, Minimal Viable Product generation, continuous prototyping, and automated testing coverage for both services and UI. IBM‚  TDD methodology is executed by cross-functional squads using AWS Code Commit and DevOps workflows that manage static and unit testing, deployment, and multi-level automated regression tests for UI, integration, and performance.","[Accelerated development speeds, Improved code quality, Reduced manual testing costs by 50%]",[https://ibmgbs.loopio.com/library?entry=4637968]
4637969.md,Whole Farm Approach (WFA) system,Defra,"Agriculture, Environmental Policy (Government)",,"IBM designed and delivered the Whole Farm Approach (WFA) system for Defra, providing a one‚ stop shop for farmers to interact with the department, obtain policy information, and submit assessments and surveys. The project prioritized accessibility from the outset, creating accessibility personas, using IBM‚  research and Accessibility toolkit, and building the solution in compliance with WCAG 2.1 standards. Testing included popular assistive technologies such as JAWS and Apple/Android screen readers, and user research involved participants with additional needs. The final product was independently verified as compliant.","[Accessibility compliance achieved (WCAG 2.1), Independent verification of accessibility, Improved farmer engagement through a unified platform]",[https://ibmgbs.loopio.com/library?entry=4637969]
4637972.md,Developing 7 new low‚ income benefit services for Scottish Government,Scottish Government,"Public sector, government services",,"We worked with the Scottish Government in developing seven new low‚ income benefit services. We designed and created end‚ to‚ end services to inform our online and offline channels, including the interactions between these channels to give users freedom and control. We researched, designed, tested and built services incorporating desktop and mobile first interfaces as well as phone and postal channels for each service.","The resulting service is highly accessible and used by over 90,000 Scottish residents, achieving a 97% positive user satisfaction score.",[https://ibmgbs.loopio.com/library?entry=4637972]
4637973.md,Developing 7 New Low-Income Benefit Services for Scottish Government,Scottish Government,"Public Sector, Government Services",,"The project involved collaborating with the Scottish Government to design and deliver seven new low‚ income benefit services. Through continuous user research, citizen engagement, and a hypothesis‚ driven prototyping approach, a living library of over 100 global user needs was created. These insights were regularly reviewed, communicated, and prioritized by product owners, guiding service roadmapping, backlog creation, and the overall design direction for content, products, and services.","[User‚ centred prioritisation of future services based on a comprehensive needs library, Successful delivery of seven new benefit services, Recognition with the Change and Transformation award at MCA Awards 2020]",[https://ibmgbs.loopio.com/library?entry=4637973]
4637974.md,Food Standards Agency Service Registration for Local Councils,Food Standards Agency (FSA),"Public Sector, Food Safety & Regulation",,"IBM collaborated with the Food Standards Agency to design and implement a digital service that allows food businesses across 387 local councils to register. Using UX flows, blueprints, prototypes, and regular playbacks, IBM communicated concepts to council representatives, enabling them to evaluate and provide feedback on the proposed service.","[All 387 local councils engaged with the FSA in at least one activity, Positive reception from councils leading to a net promoter score of 9.5/10 for IBM]",[https://ibmgbs.loopio.com/library?entry=4637974]
4637975.md,Innovation Garage function for the NHS Data Security Centre,NHS Data Security Centre,"Health, Public Sector",,"IBM defined, set up and delivered an Innovation Garage function for the NHS Data Security Centre. The initiative shifted from a technology‚ focused approach to a strategic, user‚ led methodology for defining, designing, delivering and scaling digital solutions. Squads employed user research, organisational design, policy applicable to the NHS, business analysis and data science to co‚ deliver the Innovation Factory, enabling rapid MVP development such as the Business Intelligence and Risk Platform and the Policy Toolkit.","[Shifted to a strategic, user‚ led approach for cyber solution delivery, Enabled rapid MVP creation and scaling (e.g., Business Intelligence & Risk Platform, Policy Toolkit), Improved efficiency in creating, editing and submitting cybersecurity policies]",[https://ibmgbs.loopio.com/library?entry=4637975]
4637976.md,NHS Digital Online Data Access Request Service Change Programme,NHS Digital,"Healthcare, Public Sector (Health IT)",,"At NHS Digital we led the change programme for their online data access request service to tackle increased demand resulting from COVID-19. We took a user‚ led approach and ran a rapid discovery phase, identifying failures/pain points and bottlenecks within the service. This informed the backlog which prioritised the resolution of the most feasible and highest value failures/pain points. Each failure was analysed and the root cause determined to inform the activities required to resolve it.",[Reduced the length of time an application took from start to finish by 20%],[https://ibmgbs.loopio.com/library?entry=4637976]
4637977.md,Genomics Service Development at Manchester Foundation Trust,Manchester Foundation Trust (MFT),"Healthcare, Genomics Services",,"At Manchester Foundation Trust we used user‚ focused research methods‚Äîinterviews, focus groups and design thinking workshops‚Äîto co‚ create a genomics service with clinicians, scientists and researchers. The team designed and developed a production‚ ready patient genomic management application that enables rapid reporting for Genomic Variant Advisory Boards. Rapid iteration, fast feedback loops and remote usability testing were key to the development process.",The iterative and user‚ centric design approach led MFT to secure an additional  £500‚ÄØK in external grant funding to continue developing the service.,[https://ibmgbs.loopio.com/library?entry=4637977]
4637978.md,New Food Business Registration Service for the Food Standards Agency,Food Standards Agency,"Government, Public Sector (Food Safety)",Heroku,"IBM designed a new food business registration service to serve 387 local councils. The project required complex public inputs, so IBM used interactive prototyping with the gov.uk prototyping kit. Over 30 iterations of code‚ based prototypes were built‚Äîbasic UX prototypes for interaction testing and higher fidelity front‚ end prototypes for end‚ to‚ end journey validation. These prototypes were hosted on Heroku to facilitate communication between designers, SMEs, and developers building the live service.","[Rapid iterative design through over 30 prototype iterations, Improved stakeholder understanding of complex interactions, Enhanced collaboration between UX designers, front‚ end developers, and business stakeholders, Efficient handoff to development teams via Heroku-hosted prototypes]",[https://ibmgbs.loopio.com/library?entry=4637978]
4637979.md,Food Standards Agency new food business registration service,Food Standards Agency,"Public sector, Food safety",gov.uk Design System,"At the Food Standards Agency, IBM built a new food business registration service, replacing paper processes from 387 Local Councils. Hosted on gov.uk, the service used components and patterns from the gov.uk Design System, including experimental patterns and components from Github, with evidence of their efficacy contributed back to the community. By using gov.uk patterns for common elements like address-entry, we could focus on resolving areas of greatest risk and error.","The service delivery resulted in significantly higher quality data being entered by users, an increase in local council trust in the data and an NPS score of 9.5.",[https://ibmgbs.loopio.com/library?entry=4637979]
4637980.md,Delivering 7 new low‚ income benefit services to Scottish residents,Scottish Government,"Public sector, government services",,"We worked with the Scottish Government to deliver seven new low‚ income benefit services to Scottish residents, conducting user research throughout the project lifecycle with over 1,300 users. From extensive discovery research to identify as‚ is experiences and needs, continuous user research and testing in the Alpha phase provided vital direction for delivery teams and product owners. In Beta/Live, user research continues to uncover areas for improvement based on feedback from active services, as well as conducting further research to inform product roadmaps and explore impact on smaller user groups.",[97% positive user satisfaction rating],[https://ibmgbs.loopio.com/library?entry=4637980]
4637981.md,Redesigning Career Support for Psychologists,The British Psychological Society,"Psychology, Professional Association",,"We worked with The British Psychological Society to redesign career support for psychologists. Qualitative research was used to inform service concepts, and in-depth interviews, literature review and meta-analysis were conducted to identify themes, trends, gaps and audiences. A quantitative survey of over 10,000 psychologists helped understand and segment needs, using purposive sampling of internal and external audiences. The mixed‚ methods approach included focus groups, depth interviews, journey mapping, action research, co‚ production prototyping, and a quantitative survey to test and prioritise solutions. The result was a redesigned grading system, CPD framework, and career roadmap for psychology disciplines across four nations.","[Redesigned grading system, Updated CPD framework, Career roadmap implemented across 4 nations]",[https://ibmgbs.loopio.com/library?entry=4637981]
4637982.md,User Research and Design for Scottish Government Low‚ Income Benefit Services,Scottish Government,"Public Sector, Government Services",,"The project involved researching, designing, and delivering seven new low‚ income benefit services for residents of Scotland. User research was conducted in 483 sessions with over 1,300 members of the public, claimants, and staff. Qualitative findings were analyzed using affinity mapping and thematic analysis by a cross‚ functional team to remove bias and uncover common pain points across user groups. Quantitative data identified drop‚ off points and processing times for applications. The result was an evidence‚ based, user‚ centred service that achieved a 97% positive user satisfaction rating.","[Evidence-based design of seven new benefit services, 97% positive user satisfaction rating, Improved understanding of user needs across public, claimants, and staff]",[https://ibmgbs.loopio.com/library?entry=4637982]
4637983.md,Food Standards Agency Food Business Registration Service,Food Standards Agency,"Public Sector, Food & Beverage Regulation",,"IBM was engaged by the Food Standards Agency to develop a food business registration service that would replace existing processes across 387 local councils. The project involved research with food business operators, inspectors, policy makers and large enterprises, leading to the identification of at least three separate services to address user needs. IBM used roadmaps, storytelling and personas to communicate insights and options to stakeholders and board members, enabling clear direction for the project. This approach resulted in a highly successful Alpha and Beta phase, culminating in the live deployment of the service.","[Successful Alpha and Beta phases, Live deployment of the registration service across 387 local councils]",[https://ibmgbs.loopio.com/library?entry=4637983]
4637986.md,Health Navigator Clinical Coaching and Remote Monitoring,Health Navigator,"Healthcare, Clinical Services",,"We worked with Health Navigator to design clinical coaching and remote monitoring to support reduced unplanned admissions for at risk groups. We advocated inclusive practices by embedding the Health Equity Assessment tool and user‚ centred considerations such as socioeconomic needs, protected characteristics, digitally excluded and vulnerable groups by ensuring this was incorporated into delivery. Co‚ delivery of community‚ action based research and testing including outreach to communities/faith groups addressed equalities/access challenges across a demographic sample of staff and clinicians in primary/social/acute and voluntary care, resulting in more accessible services.",25-40% reduction in acute admissions and services that work for all users,[https://ibmgbs.loopio.com/library?entry=4637986]
4637987.md,"Experience of working with education, training, and social care providers",Torbay and South Devon NHS Foundation Trust (and other NHS & local authority partners),"Healthcare, Social Care",,"We supported Torbay and South Devon NHS Foundation Trust in developing medical education training facilities using a user‚ centred, co‚ design approach with iterative testing. The project involved creating new models for training medical practitioners in care techniques. Additionally, we worked with Kent and Medway NHS and Social Care Partnership Trust and Bradford City Council to conduct research with vulnerable groups (asylum seekers, homeless individuals, sex workers) to understand the impact of hate crime, producing an extensive report.",Improved training models for medical practitioners; comprehensive insights into hate crime effects on vulnerable populations; enhanced collaboration between healthcare providers and social care teams.,[https://ibmgbs.loopio.com/library?entry=4637987]
4637988.md,Experience of helping to build and maintain a user research community of practice in an organisation,The British Psychological Society,"Psychology, Professional Association",,"We worked with The British Psychological Society to redesign career support for Psychologists. We established a design and user research community of practice with the BPS research team, Ravensbourne University and psychologists as practicing researchers, with specialist skills such as participatory and community research and multi‚ method qualitative techniques. The community was established with a focus on key research objectives for the project, design thinking principles and a ‚ÄòLiving Lab‚Äô to maintain the community, with regular review and user feedback to continually assure, improve and innovate the research community of practice.","Improved and sustained user research practices within the BPS organization, fostering continuous innovation and quality assurance in career support services.",[https://ibmgbs.loopio.com/library?entry=4637988]
4637989.md,Food Standards Agency ‚Äì New Food Business Registration Service,Food Standards Agency (FSA),"Public Sector, Food Safety & Regulation",,"IBM partnered with the Food Standards Agency to replace paper-based food business registration processes used by 387 local councils. The project involved a cross-functional delivery team‚Äîincluding data scientists, architects, developers, and designers‚Äîwho conducted user research, observation, and testing with both food business operators and Environmental Health Officers. This user‚ centred approach ensured that the needs of all stakeholders were understood and integrated into the design of the new digital service, fostering buy-in from policy makers, local council representatives, and executive leaders.","[Successful transition to a fully digital registration process, Improved adoption and smooth rollout across 387 councils, Net Promoter Score of 9.5/10 awarded by FSA]",[https://ibmgbs.loopio.com/library?entry=4637989]
4637990.md,Experience of helping inexperienced delivery teams adopt user-centred practices and embed them into their agile workflow,Department for Work and Pensions (DWP),"Public Sector, Government Services",,"IBM was invited by DWP to co-create an overhaul of a service used by over 90,000 DWP employees to view National Insurance data. The project involved an Agile and user-focused transformation where a mixed DWP/IBM team worked transparently, encouraging attendance at sprint reviews, running regular lunch and learns, and collaborating with Agile coaches and IBM Design Leadership. The team advocated GDS Service Manual principles, Agile best practice, iterative and user-focused delivery. With IBM‚  support, the DWP is now fully self-sufficient in delivering both design and delivery of this program, and has expanded the agile and user-centred workflow to numerous other projects.","[DWP achieved full self-sufficiency in design and delivery of the National Insurance data service, Expanded agile and user-centred workflow to multiple other projects]",[https://ibmgbs.loopio.com/library?entry=4637990]
4637995.md,BPme Application ‚Äì Global Digital Payment Platform,BP (British Petroleum),Oil & Energy Retail,,"BP, PayPal and IBM collaborated as a multi‚ supplier team to create a seamless experience for customers in a highly complex operational and technical environment. The project delivered BP‚  global digital payment platform, covering the full product lifecycle from high‚ level business requirements through design, UX/UI, development, testing and support.","[Lean back‚ office operations, Enhanced loyalty program, Supply‚ chain optimisation using QR code, Business analytics for BP dealers to make better decisions]",[https://ibmgbs.loopio.com/library?entry=4637995]
4637996.md,IBM and Scottish Government win MCA Awards 2020 for first Scottish Social Security benefit products,Scottish Government,"Public sector, Government services",,"IBM partnered with the Scottish Government to redesign and deliver a suite of social security benefits, including Carer‚  Allowance and Young Carers Grant. The project involved over 1,400 citizens in user research across 483 sessions at 40 locations, using IBM Design Thinking to align user needs with service delivery. Sprint goals were prioritized based on MVPs, iterated, and validated through continuous user feedback, resulting in eight new high‚ quality benefit services that transformed the benefit experience for Scottish households.","[Implemented eight new benefit services, Improved customer satisfaction to over 97%, Served approximately 100,000 households]",[https://ibmgbs.loopio.com/library?entry=4637996]
4637999.md,Experience moving a product successfully through different lifecycle phases,Scottish Government,"Public Sector, Government Services",,"IBM and Scottish Government have built a new benefits delivery service. IBM has been involved from inception through to running a live service with over 4000 applicants a day. Services undergo Digital First assessments (Scottish Government GDS equivalent) to move from Discovery, Alpha and Beta into Live. Our teams have shifted from Discovery research to gathering feedback on live services and identifying continuous improvement opportunities. We maintain DevOps pipelines to make the rollout of improvements to Scottish residents fast and effective. We successfully moved 8 products through the different lifecycle phases that resulted in a 97% user satisfaction score.","[Over 4000 applicants per day, 97% user satisfaction score, Successfully moved 8 products from Discovery to Live]",[https://ibmgbs.loopio.com/library?entry=4637999]
4638001.md,IBM assists major London NHS Foundation Trust in IT delivery transformation,London NHS Foundation Trust,Healthcare,,"IBM was asked to assist a major London NHS Foundation Trust to provide insight on their IT delivery programmes and help prioritise and accelerate their IT/delivery transformation as part of a future Electronic Health Records implementation. IBM worked with the Trust to provide insight, guidance and support, including prioritisation, delivery improvements, insight/comparisons from comparable programmes, ‚Äògo live planning‚Äô and process/structure and ideas/improvements.","9 project go‚ lives on time in 3 months (previously none were on time), 80% reduction in reporting time, new governance including weekly agile scrums, watch lists and Delivery Programme Project Accuracy increasing by 30%",[https://ibmgbs.loopio.com/library?entry=4638001]
4638002.md,"IBM applied iterative methods to overhaul a service used by over 60,000 DWP employees",Department for Work and Pensions (DWP),"Public sector, Government services",,"IBM applied iterative methods to overhaul a service used by over 60,000 DWP employees to view National Insurance data. The team worked with stakeholders to apply agile methodologies pragmatically and proportionately, communicating to technical and business stakeholders at the end of each sprint via show-and-tells. They walked through the architecture with the technical community and demonstrated the business functionality via user experience sessions. The project followed GDS Service Manual principles: Agile best practice, iterative and user-focused delivery.","[Won the best public sector project award at the National Technology Awards, Enabled DWP to expand their Agile transformation using the acquired expertise]",[https://ibmgbs.loopio.com/library?entry=4638002]
4638003.md,IBM and Scottish Government Build Low‚ Income Benefits Services,IBM (in partnership with the Scottish Government),"Public Sector, Government Services",,"IBM and the Scottish Government collaborated to design and deliver seven new low‚ income benefits services. The project relied on extensive user research and co‚ creation activities, employing both quantitative methods (surveys, web analytics) and qualitative techniques (interviews, focus groups, usability testing). Insights gathered informed hypotheses for testing and were translated into user stories that guided the development of the services delivered to Scottish residents.",The resulting services achieved a 97% satisfaction rating among users.,[https://ibmgbs.loopio.com/library?entry=4638003]
4638005.md,IBM helped a leading bank to design and deliver complex digital transformation initiatives in Mobile Banking,Leading Bank (unnamed),"Banking, Financial Services",AWS,"IBM partnered with a major banking institution to architect and execute mobile banking digital transformation projects, leveraging cloud and DevOps capabilities similar to those required for the Barring MVP. The engagement employed a core‚ flex staffing model that allowed IBM to scale up by 20% during peak demand periods and scale down by 25% when client needs decreased. Technical resource fulfillment was further supported through access to IBM‚  global DevOps Centre of Competence and its ecosystem of partners, including AWS Premier Partners.","[Scalable workforce model: +20% capacity during peaks, -25% during troughs]",[https://ibmgbs.loopio.com/library?entry=4638005]
4638008.md,Agile Governance for DBS Digital Service,DBS Bank,"Public Sector, Government Services","GOV.UK.Pay, GOV.UK.Verify, GOV.UK.Notify","The project embedded agile design and governance practices into DBS‚  agile workflow to develop a new digital service and products hosted on GOV.UK, enabling citizens to self‚ serve a Basic Disclosure application digitally. The team focused on processes and metrics rather than documentation, worked collaboratively with clear expectations, and used an agile team, DevOps tooling, and UX Design. It was the first service to use GOV.UK.Pay, GOV.UK.Verify and GOV.UK.Notify services.","[GDS alpha assessment passed on first attempt, Won the Institute of Customer Service Award for Best Use of Customer Insight in 2020]",[https://ibmgbs.loopio.com/library?entry=4638008]
4638009.md,VOTE Measurement Framework Used with NHS,National Health Service (NHS),Healthcare,,"The VOTE measurement framework was introduced to the NHS to support delivery of high‚ profile digital services during the pandemic. The framework reports weekly on Velocity, Outcomes delivered and to be delivered, Technical debt carried, and Experience of teams, providing transparency that informs decision‚ making.","[Improved visibility into team performance, Enhanced ability to make correct decisions based on real‚ time metrics, Successful delivery of digital services during a critical period]",[https://ibmgbs.loopio.com/library?entry=4638009]
4638015.md,VOTE Measurement Dashboard Implementation for NHS,National Health Service (NHS),Healthcare,,"We embed robust reporting processes in our delivery to meet the needs of our client, including flash reporting on project progress against deliverables. Alongside traditional delivery metrics that include progress against the plan, commercial status and technical results, we introduced our VOTE measurement dashboard, reporting weekly on team Velocity, Outcomes delivered and to be delivered, Technical debt carried and Experience of teams (how sustainable is delivery). VOTE is a proven approach and ensures transparency that leads to correct decisions. We used it successfully with the NHS to deliver a high-profile digital solution during the pandemic in less than 8 weeks.","[Transparent reporting leading to correct decisions, Delivered a high‚ profile digital solution within 8 weeks during the pandemic]",[https://ibmgbs.loopio.com/library?entry=4638015]
4638017.md,DWP Apply‚ for‚ a‚ Nino Project,Department for Work and Pensions (DWP),"Public sector, Government services",,"The project involved coordinating a wide range of stakeholders across Digital, Operations and Policy within DWP to deliver the ‚ÄòApply-for-a-Nino‚Äô service. Clear communication was tailored from high‚ level walkthroughs to detailed technical reviews to bridge varying levels of technological understanding. Performance dashboards were created to monitor service performance and inform product decisions.","[Delivery completed within 8 weeks, Reduced footfall into local offices by 100%]",[https://ibmgbs.loopio.com/library?entry=4638017]
4638019.md,Experience of client side delivery and ability to deliver on time and to budget,Disclosure and Barring Service (DBS),"Public Sector, Government Services",,"IBM partnered with the Disclosure and Barring Service (DBS) for the Home Office to launch a new digital service that allows citizens to check police records. IBM supplied skilled technical and leadership resources, employing DevOps tooling and Scrum methodology to focus on essential functionality and maintain clear communication with multiple stakeholders. The team delivered an award‚ winning citizen-facing online application that met Government Digital Service (GDS) standards, meeting a legislative deadline without prior internal agile or digital delivery experience.","[Delivered the GDS standard public beta application on time, Completed within budget, Achieved a customer satisfaction rating of 93%]",[https://ibmgbs.loopio.com/library?entry=4638019]
4638020.md,Semaphore Programme ‚Äì AWS Migration Project,Home Office (UK Government),"Public Sector, Government IT",AWS,"For the Home Office, IBM has been delivering the Semaphore programme for over a decade. The team creates Return on Investment Models (ROMs), Impact Assessments (IAs), and navigates agreed Change Control processes to support project approvals. They employ both bespoke and ‚Äòt‚ shirt‚Äô size estimating principles against pre‚ agreed criteria, proactively generating ROMs when needs arise rather than merely responding to requests. For the Semaphore programme‚  AWS migration, IBM initially proposed a ROM to underpin the business case, providing narrative documentation and presentation support for the approvals board.","Successful approval and execution of the Home Office‚  AWS migration project, demonstrating effective cost estimation, risk assessment, and governance processes over a long‚ term partnership.",[https://ibmgbs.loopio.com/library?entry=4638020]
4638021.md,Front‚ end remodelling of the Customer Information System for DWP,Department for Work and Pensions (DWP),"Public sector, Government",,"For DWP we supported the front‚ end remodelling of the Customer Information System (Critical National Infrastructure) from Discovery to Beta. Our Product Managers embraced GDS service standards, supporting multidisciplinary teams prioritising user experience and accessibility to inform next iterations of the product. We facilitated twice‚ weekly sessions to feed insights from user testing into the product backlog.","Delivered the product within 8 weeks, achieving a 100% reduction in footfall into local offices; passed GDS Alpha and Beta assessments on first attempt, enabling DWP to secure funding for subsequent phases; the service is now live on GOV.uk.",[https://ibmgbs.loopio.com/library?entry=4638021]
4638023.md,DWP Stakeholder Alignment and SOW Development,Department for Work & Pensions (DWP),"Government, Public Sector",,"At DWP we developed a strong and trusted relationship with senior stakeholders across departments, influencing and co‚ creating strategy and the ongoing management of the long‚ term vision. We turned competing views into tangible sets of requirements and deliverable Statements of Work (SOWs), aligning outputs to achieve the joint vision and refining them within each SOW.","Major Incidents down by 75%, lost user hours reduced by 550,000, won Highly‚ Commended at the 2020 MCA Awards, and led to wider adoption with other Government Departments including HMRC.",[https://ibmgbs.loopio.com/library?entry=4638023]
4638025.md,Experience of building services which meet user needs,Scottish Government,"Public Sector, Government Services",,"We worked with Scottish Government to iteratively research, design and deliver 7 new low‚ income benefit services to Scottish residents. User research was conducted, as part of each iteration, with 600 sessions conducted to collect the needs of over 2000 members of the public, claimants and staff. Qualitative findings and thematic analysis helped uncover common areas of pain and need across user groups, with quantitative data used to identify drop‚ off points and time taken to process applications. This iterative approach to service improvement resulted in the delivery of an evidence‚ based user‚ centred service.",[97% positive user satisfaction rating],[https://ibmgbs.loopio.com/library?entry=4638025]
4638026.md,Experience of implementing MS Dynamics as a case management system,National Security Organisations (UK),"Government, Public Sector, National Security",AWS,"IBM developed an MS Dynamics 365 case management solution to triage information reports for UK national security organisations, replacing a spreadsheet-based workflow. The system integrates with Microsoft Exchange for email handling, SharePoint for document storage, and a bespoke database/reference data service. IBM used a hybrid agile scrum team: low‚ level development in an IBM‚ provisioned AWS environment and high‚ level deployment in the client‚  secure environment.","[Retired over 55 spreadsheets, Created more than 5,000 cases, Logged over 12,000 reports, Saved 15‚Äì20 hours per day across the team]",[https://ibmgbs.loopio.com/library?entry=4638026]
4638027.md,Experience of working with Rosa product set,NCSC/HMG,"Government, Public Sector (National Security)","Rosa hosting environment, RedHat OpenShift","IBM delivered the first solution deployed on the Rosa hosting environment to map Critical National Infrastructure across sectors. The project adopted a RedHat OpenShift containerised approach and, in collaboration with DXCA, built and established necessary platform services within the Rosa environment, including user authentication and application audit. The solution integrates with Rosa Mail/Docs for sharing information across government departments and is accessible via Rosa fixed terminals, mobile devices, and other government systems.","[Mapped critical national infrastructure across multiple sectors, Established platform services (authentication, audit) in Rosa environment, Enabled secure sharing of information through Rosa Mail/Docs, Provided multi-device access for Cabinet Office and NCSC users]",[https://ibmgbs.loopio.com/library?entry=4638027]
4638030.md,National Cyber Incident Reporting Interface,NCSC (UK Government),"Cybersecurity, Public Sector",,"IBM led the development of a new national cyber incident reporting interface for public reporting of cybersecurity and cyber‚ crime incidents through a single entry point hosted on gov.uk. The team conducted extensive user research across stakeholder communities, including law enforcement, HMG employees, and members of the public, deriving user needs from a diverse and inclusive user base. Public focus groups and individual user interviews informed solution development and accessibility testing rounds. Development was carried out in compliance with the GDS Service Manual, passing alpha and beta stages with a roadmap to move to live status.",Compliance with GDS Service Manual; successful completion of alpha and beta phases; established roadmap for live deployment.,[https://ibmgbs.loopio.com/library?entry=4638030]
4638031.md,IBM partners with DEFRA to provide fully‚ outsourced ITIL compliant 24x7 support and helpdesk,"DEFRA (UK Department for Environment, Food & Rural Affairs)","Government, Public Sector",,"IBM delivers a fully‚ outsourced, ITIL v3 compliant 24x7 support and helpdesk service to DEFRA. The engagement covers a portfolio of 600 applications in production, with IBM managing the entire product lifecycle for 115 applications, including change management. Release management is handled through CI/CD pipelines and DevOps tools. A team of over 50 professionals provides this capability, employing SEI‚ CMMiL3 compliant processes alongside project management frameworks such as PRINCE2, SAFe, and agile Scrum.","24x7 ITIL‚ compliant support for a large application portfolio; streamlined change and release management via CI/CD; adherence to industry best practices (SEI‚ CMMiL3, PRINCE2, SAFe, Scrum); improved operational reliability and compliance for DEFRA‚  critical systems.",[https://ibmgbs.loopio.com/library?entry=4638031]
4638032.md,DBS. IBM supported Disclosure and Barring Service in delivering a new public-facing criminal record and background-check digital service,Disclosure and Barring Service (DBS),"Public Sector, Government Services",,"IBM worked with the Disclosure and Barring Service to develop, test, and launch a new online platform for criminal record and background checks. The project followed an agile scrum methodology, progressing through discovery, alpha, private and public beta phases before going live. IBM‚  teams built proof‚ of‚ concepts and UX prototypes, continuously iterating based on user and stakeholder feedback. Security and technology requirements were met with automated security testing and a mature DevOps approach that aligned with Government Digital Service (GDS) design standards.","[Successful delivery of the public-facing digital service meeting all technical and security requirements, Recognition by GDS for high maturity in DevOps practices, including automated security testing, Enhanced user experience through iterative prototyping and stakeholder engagement]",[https://ibmgbs.loopio.com/library?entry=4638032]
4638035.md,Experience of building services which meet user needs,NHS (National Health Service),"Healthcare, Public Sector",,"IBM and NHS Test and Trace are delivering new national agent and public-facing services for contact tracing from discovery into live. The team applies user‚ centred methodologies across all phases of service development, including extensive user research, use of design systems, analytics, and data‚ driven design. Designers select appropriate methods from the GDS Service Manual, IBMs Enterprise Design Thinking framework, and IBM Garage methodology‚Äîan end‚ to‚ end model for accelerating digital transformation. These methods are agreed with stakeholders and actioned each sprint, enabling rapid iteration and testing of designs to ensure services address user needs before they are built and released.","[Rapid iteration and testing of designs, Ensured services meet user needs prior to build and release]",[https://ibmgbs.loopio.com/library?entry=4638035]
4638036.md,National Security Organisations,National Security Organisations,"Government, Public Sector, Defense",Microsoft Dynamics,"IBM established an Automation World as a centre of excellence to deploy business productivity tools (MS Dynamics) for National Security Organisations. The goal was to provide solutions directly to business areas in other Worlds, enabling them to solve their respective problems and become more self‚ serving. This capability allowed teams across the organisation to save time spent on manual repetitive processes and focus more effort on higher value work through reusable and adaptable templates and components, with seamless low to high delivery.","[Reduced manual repetitive process time, Increased focus on higher value work, Reusable and adaptable templates and components, Enhanced self‚ serving capabilities for business teams]",[https://ibmgbs.loopio.com/library?entry=4638036]
4638037.md,Student Loans Company,Student Loans Company,"Education, Student Finance",,"IBM conducted Enterprise Design Thinking workshops with over 100 customer‚ facing staff to design a visionary future customer experience for the Student Loans Company. The project covered the entire supply and delivery chain, including disabled student assessment by third‚ party specialists (DWP), student childcare providers paid directly (SLC), education providers paying tuition fees (DfE), validating student parents‚Äô income and facilitating loan repayments (HMRC), overseas payment providers, etc. IBM communicated the vision across multiple personas and journeys, converging into a single Service Design Blueprint that encompassed varied digital products.","[Developed a unified service design blueprint, Aligned multiple stakeholders around a shared customer experience vision, Enabled integrated capabilities across people, processes, and technology]",[https://ibmgbs.loopio.com/library?entry=4638037]
4638038.md,NCSC - Working as a strategic delivery partner for the NCSC,National Cyber Security Centre (NCSC),"Cybersecurity, Public Sector",,"IBM adopted an agile and iterative DevOps approach to capability development for the NCSC, establishing a bi‚ weekly rhythm of delivery of capability ready for deployment to end users. This fail‚ fast, rapid response culture keeps the development team closely connected with end users, enabling IBM to truly understand the client‚  mission and pressures. By gradually maturing each capability, IBM ensures that business value is delivered while simultaneously addressing security, policy, and supportability requirements in proportion to the maturity of the functionality.","[Business value delivered incrementally, Security, policy, and supportability requirements addressed alongside functional development, Enhanced collaboration between IBM and NCSC end users]",[https://ibmgbs.loopio.com/library?entry=4638038]
4638039.md,Case Study: GDS,Disclosure and Barring Service (DBS),"Government, Public Sector",,"IBM partnered with DBS to design and deliver a new public‚ facing criminal record and background‚ check digital service in accordance with the Government Digital Service (GDS) standards. The project followed an end‚ to‚ end delivery model that included discovery, alpha, beta and live stages, using agile scrum teams to iteratively develop proofs of concept and UX prototypes. IBM‚  DevOps practices‚Äîautomated security testing and continuous integration‚Äîwere highlighted during GDS assessments. The service also incorporated a joint teaming approach with DBS, embedding GDS governance and user‚ centric design throughout the sprint cycles.","‚Ä¢ Successfully passed the GDS Alpha assessment against Digital Service Standard criteria.
‚Ä¢ Demonstrated high maturity in DevOps and automated security testing.
‚Ä¢ Delivered a live, accessible public service on GOV.uk that meets government accessibility and usability standards.",[https://ibmgbs.loopio.com/library?entry=4638039]
